mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_epochs,param_model__activation,param_model__dropout_rate,param_model__learning_rate,param_model__units,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
8.216639931996664,0.14576080373903466,0.40278738339742026,0.057875095551858734,50,relu,0.0,0.002,64,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.002, 'model__units': 64}",0.032555504730627294,0.09987606999479282,0.01334399711706813,0.13626803984526303,0.23366771542171194,0.09699492675795762,0.1727602230701979,-0.03293744459710357,-0.27631204667217535,0.058909421452630784,0.2931038015308993,0.14428856133839507,-0.1215044423897027,-0.2594587909726631,-0.3481508663432593,0.01622697801897599,0.18450129355984132,359
8.121268431345621,0.18028075498142482,0.5418908913930257,0.13612656213523486,50,relu,0.0,0.002,128,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.002, 'model__units': 128}",-0.05323466387587472,-0.8465375588177468,0.28295753218272,-0.07595154344288191,0.1087114374672693,-0.007711240235580341,-0.1049169844340152,0.06250829058586327,0.13443818817960662,-0.21307256530564955,0.18138134918698667,-0.1078845598790017,-0.004679517641535735,0.01351458011510387,-0.22584978744571926,-0.0570884695573637,0.25065566744023665,386
8.37032740910848,0.2759728008166662,0.4340497652689616,0.07914447983494614,50,relu,0.0,0.002,256,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.002, 'model__units': 256}",0.11264501014154538,0.09345171849626244,-0.009732864248777062,0.18298043728238422,-0.04658568974058319,0.2921160434993362,0.2427580690318195,0.032740778660004244,-0.017154074376461992,0.021692846795595022,0.11533716195676313,0.027453497955774564,0.035362277262679154,0.02206577760741313,0.007006143655750696,0.0741424755986337,0.09544813997596124,320
7.986802101135254,0.18493551772523345,0.428507137298584,0.07093462587299408,50,relu,0.0,0.004,64,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.004, 'model__units': 64}",-0.3046207138550934,-0.17312369656990945,-1.078360121775253,0.24590581020952818,0.02826687237893244,0.2831362399874533,0.015288354496705292,-0.6520167088058801,0.0941508829861224,-2.5664892615630106,-0.7343274577105521,0.0023938161261541913,0.08899275896006453,-0.19446242475130693,-0.341118471094626,-0.3524256080653781,0.6969665015843729,453
8.263749488194783,0.1488228205315369,0.5130213101704916,0.06322330335039288,50,relu,0.0,0.004,128,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.004, 'model__units': 128}",0.20585386171071995,0.1418030384754153,-0.04821413917957895,-0.48021277125755724,0.11881374370953401,-0.18783406370114708,0.10930851573214562,-0.737601581725047,0.07768624030639326,-0.2997536518238306,-0.1552450176168978,-0.03122723569794572,-0.03577385829337332,0.1545767604054782,-0.22360270906220614,-0.0927615245345265,0.2540184478074137,395
8.536719544728596,0.3191497353747988,0.44781762758890786,0.07063102410146511,50,relu,0.0,0.004,256,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.004, 'model__units': 256}",-0.3452070689455744,0.14086315754760081,-0.4614113320976634,-0.4215598525768145,-0.32185912828188035,0.04018937300127823,0.23168071618679875,0.027128466378514515,0.13429809538640858,-0.018646008956972437,-0.3765703748370881,-0.26287159929516557,0.026924082259612625,-0.2853117025229748,0.09585347078910134,-0.11976664706432126,0.23017226314550046,402
8.244630336761475,0.4290027330940376,0.44751787185668945,0.07875954124786287,50,relu,0.0,0.006,64,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.006, 'model__units': 64}",0.2279998194421371,-0.6864459961444587,0.23813152889515077,0.11031024002150203,-0.870795900209725,0.22092021691583374,-1.4231246370284794,-0.17041579700008658,-0.5667146060830921,-0.07057028456853276,0.31206426693925293,0.023013800348715807,-0.45562661596037946,0.2245804896948702,-1.0620131540270341,-0.26324577525095505,0.5306581915194871,434
8.00514686902364,0.3976692298594948,0.45682652791341144,0.0653334469024855,50,relu,0.0,0.006,128,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.006, 'model__units': 128}",0.03952720156195899,0.11817305819677082,0.26658473968546037,-0.18642398416467998,-0.012926663038740127,0.2298897754059689,-0.39262657624436637,0.12202676734111628,0.1834293486824199,0.171993670475319,0.31903283530327375,0.13740775838746,-0.3659684051626728,0.2112239156750032,0.10779663815749752,0.06327600535078597,0.2093502477772621,326
9.024609740575155,0.2070374086160973,0.49771235783894857,0.06441759507340303,50,relu,0.0,0.006,256,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.006, 'model__units': 256}",-0.021156702363576363,0.21908742919086277,-0.6979972998766202,0.1226826829666231,-0.3426675030940378,0.30356313684259106,-0.11249126207338422,0.08552581268274628,-0.3412640292948037,-0.034343691204266946,-1.068098140033272,-0.04821554267118411,0.1961248700301751,0.16523472499000258,0.27220085663317894,-0.08678764381833105,0.37129656467420097,394
8.645266342163087,0.8004994873630719,0.44457046190897626,0.06700801040750733,50,relu,0.0,0.008,64,"{'epochs': 50, 'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.008, 'model__units': 64}",-1.072016009336057,-0.7184612987882586,0.2503692112890268,-0.25337847794279744,0.27846950563140194,-0.29250311579499066,-0.05433868369814698,-0.10211540840530109,0.10355122459144717,0.18935220587294443,0.2463186243615767,0.26853329467315656,-0.8795714031903048,-0.05865285402906606,0.14517535067332954,-0.12995118893946928,0.4237126600380398,406
